Diagnosis	Sample	cd8_subcluster	.n	.frac
Control	CT6	s5	3	0.00234192037470726
Control	CT6	s6	3	0.00234192037470726
Control	CT6	s8	30	0.0234192037470726
Control	CT6	s9	51	0.0398126463700234
Control	CT7	s1	751	0.405945945945946
Control	CT7	s2	727	0.392972972972973
Control	CT7	s3	306	0.165405405405405
Control	CT7	s4	1	0.000540540540540541
Control	CT7	s5	7	0.00378378378378378
Control	CT7	s6	25	0.0135135135135135
Control	CT7	s8	6	0.00324324324324324
Control	CT7	s9	27	0.0145945945945946
Control	CT8	s1	440	0.443548387096774
Control	CT8	s2	207	0.20866935483871
Control	CT8	s3	125	0.126008064516129
Control	CT8	s4	1	0.00100806451612903
Control	CT8	s5	6	0.00604838709677419
Control	CT8	s6	21	0.0211693548387097
Control	CT8	s8	154	0.155241935483871
Control	CT8	s9	38	0.0383064516129032
NoColitis	NC1	s1	160	0.318091451292247
NoColitis	NC1	s2	177	0.351888667992048
NoColitis	NC1	s3	95	0.188866799204771
NoColitis	NC1	s4	7	0.0139165009940358
NoColitis	NC1	s5	22	0.0437375745526839
NoColitis	NC1	s6	25	0.0497017892644135
NoColitis	NC1	s7	1	0.00198807157057654
NoColitis	NC1	s8	4	0.00795228628230616
NoColitis	NC1	s9	12	0.0238568588469185
NoColitis	NC2	s1	359	0.285600636435959
NoColitis	NC2	s2	419	0.333333333333333
NoColitis	NC2	s3	391	0.311058074781225
NoColitis	NC2	s4	4	0.00318217979315831
NoColitis	NC2	s5	12	0.00954653937947494
NoColitis	NC2	s6	33	0.0262529832935561
NoColitis	NC2	s8	21	0.0167064439140811
NoColitis	NC2	s9	18	0.0143198090692124
NoColitis	NC3	s1	301	0.337822671156005
NoColitis	NC3	s2	365	0.409652076318743
NoColitis	NC3	s3	106	0.118967452300786
NoColitis	NC3	s5	18	0.0202020202020202
NoColitis	NC3	s6	52	0.058361391694725
NoColitis	NC3	s8	33	0.037037037037037
NoColitis	NC3	s9	16	0.0179573512906846
NoColitis	NC4	s1	919	0.640864714086471
NoColitis	NC4	s2	193	0.134588563458856
NoColitis	NC4	s3	269	0.187587168758717
NoColitis	NC4	s4	4	0.00278940027894003
NoColitis	NC4	s5	4	0.00278940027894003
NoColitis	NC4	s6	11	0.00767085076708508
NoColitis	NC4	s7	2	0.00139470013947001
NoColitis	NC4	s8	19	0.0132496513249651
NoColitis	NC4	s9	13	0.00906555090655509
NoColitis	NC5	s1	764	0.59594383775351
NoColitis	NC5	s2	204	0.159126365054602
NoColitis	NC5	s3	200	0.15600624024961
NoColitis	NC5	s4	14	0.0109204368174727
NoColitis	NC5	s5	18	0.0140405616224649
NoColitis	NC5	s6	35	0.0273010920436817
NoColitis	NC5	s8	34	0.0265210608424337
NoColitis	NC5	s9	13	0.0101404056162246
NoColitis	NC6	s1	711	0.386203150461706
NoColitis	NC6	s2	711	0.386203150461706
NoColitis	NC6	s3	202	0.109722976643129
NoColitis	NC6	s4	27	0.0146659424225964
NoColitis	NC6	s5	37	0.020097772949484
NoColitis	NC6	s6	32	0.0173818576860402
NoColitis	NC6	s7	2	0.00108636610537751
NoColitis	NC6	s8	83	0.0450841933731668
NoColitis	NC6	s9	36	0.0195545898967952
