Stats	p_val_adj	Cluster	Marker
0.273073956	9.47E-121	2: T3 cytokine Trm	SCML4
0.404972278	2.28E-116	2: T3 cytokine Trm	NFKBIZ
0.400076188	3.00E-113	2: T3 cytokine Trm	BTG2
0.280267171	9.52E-101	2: T3 cytokine Trm	BHLHE40
0.338616204	1.60E-64	2: T3 cytokine Trm	PHLDA1
0.275907774	3.18E-52	2: T3 cytokine Trm	RBKS
0.279216553	5.75E-51	2: T3 cytokine Trm	CITED2
0.271821532	8.91E-46	2: T3 cytokine Trm	ZFP36
0.556023642	1.10E-25	2: T3 cytokine Trm	EGR1
0.947014137	0.00E+00	3: T1 cytokine Trm	FOS
0.934850069	0.00E+00	3: T1 cytokine Trm	IL7R
0.880801153	0.00E+00	3: T1 cytokine Trm	ANXA1
0.814398888	0	3: T1 cytokine Trm	EGR1
0.79049503	0	3: T1 cytokine Trm	TNF
0.782572763	0	3: T1 cytokine Trm	CD40LG
0.769871661	0	3: T1 cytokine Trm	FOSB
0.640919493	0	3: T1 cytokine Trm	JUN
0.635968122	0	3: T1 cytokine Trm	GPR183
0.567855583	0	3: T1 cytokine Trm	KLRB1
0.534814428	0	3: T1 cytokine Trm	DUSP1
0.492682329	0	3: T1 cytokine Trm	NFKBIA
0.488970561	0	3: T1 cytokine Trm	AHNAK
0.487815249	0	3: T1 cytokine Trm	TSC22D3
0.483396589	0	3: T1 cytokine Trm	S100A11
0.462711372	0	3: T1 cytokine Trm	RGCC
0.461929157	0	3: T1 cytokine Trm	TNFAIP3
0.45868537	0	3: T1 cytokine Trm	AC020571.1
0.440295523	0	3: T1 cytokine Trm	PHLDA1
0.431420679	0	3: T1 cytokine Trm	KLF6
0.426639914	0	3: T1 cytokine Trm	VIM
0.410983518	0	3: T1 cytokine Trm	CD4
0.407557893	0	3: T1 cytokine Trm	IFITM2
0.390803492	0	3: T1 cytokine Trm	TIMP1
0.388504515	0	3: T1 cytokine Trm	PTGER4
0.372180643	0	3: T1 cytokine Trm	S100A4
0.368911718	0	3: T1 cytokine Trm	CXCR4
0.367790293	0	3: T1 cytokine Trm	PTGER2
0.355582452	0	3: T1 cytokine Trm	JUNB
0.353382314	0	3: T1 cytokine Trm	MYADM
0.349672249	0	3: T1 cytokine Trm	LGALS3
0.343274172	0	3: T1 cytokine Trm	ZFP36
0.339220951	0	3: T1 cytokine Trm	CD69
0.335422763	0	3: T1 cytokine Trm	TXNIP
0.330729363	0	3: T1 cytokine Trm	EMP3
0.323510102	0	3: T1 cytokine Trm	PPP1R15A
0.313978172	0	3: T1 cytokine Trm	PLAC8
0.313685619	0	3: T1 cytokine Trm	IFNGR1
0.308615739	0	3: T1 cytokine Trm	RPL36A
0.305979241	0	3: T1 cytokine Trm	FTH1
0.287071258	0	3: T1 cytokine Trm	EEF1B2
0.286261577	0	3: T1 cytokine Trm	ERN1
0.285054593	0	3: T1 cytokine Trm	RPLP1
0.284475152	0	3: T1 cytokine Trm	ZFP36L2
0.283047855	0	3: T1 cytokine Trm	RPS4Y1
0.282094577	0	3: T1 cytokine Trm	TPT1
0.281910761	0	3: T1 cytokine Trm	RPLP0
0.278939111	0	3: T1 cytokine Trm	INPP4B
0.275467006	0	3: T1 cytokine Trm	S100A10
0.271582445	0	3: T1 cytokine Trm	RPL34
0.269262292	0	3: T1 cytokine Trm	RPL38
0.268952369	0	3: T1 cytokine Trm	RPL39
0.268361787	0	3: T1 cytokine Trm	RPL10
0.267480484	0	3: T1 cytokine Trm	RPL32
0.266900624	0	3: T1 cytokine Trm	RPS14
0.262729572	0	3: T1 cytokine Trm	PLP2
0.258131545	0	3: T1 cytokine Trm	SORL1
0.256416759	0	3: T1 cytokine Trm	RPL9
0.255352708	0	3: T1 cytokine Trm	RPS21
0.256710366	1.47E-288	3: T1 cytokine Trm	CSRNP1
0.284925008	3.55E-265	3: T1 cytokine Trm	AC020916.1
0.281640302	3.32E-258	3: T1 cytokine Trm	TTC39C
0.42050342	3.21E-243	3: T1 cytokine Trm	NR4A1
0.322949474	6.52E-189	3: T1 cytokine Trm	DNAJB1
0.349538098	4.13E-148	3: T1 cytokine Trm	CITED2
0.278391843	1.68E-143	3: T1 cytokine Trm	BTG2
0.262760038	2.84E-110	3: T1 cytokine Trm	TUBA1A
0.271023946	7.27E-100	3: T1 cytokine Trm	RGS2
0.282964698	4.17E-83	3: T1 cytokine Trm	IER2
0.261007547	2.44E-33	3: T1 cytokine Trm	GADD45B
0.423969661	4.57E-33	3: T1 cytokine Trm	HSPA1B
1.761248153	0.00E+00	4: Naive/CM	KLF2
1.227230918	0.00E+00	4: Naive/CM	CCR7
1.207936375	0.00E+00	4: Naive/CM	SELL
0.911601364	0	4: Naive/CM	TCF7
0.893737499	0	4: Naive/CM	LEF1
0.819182066	0	4: Naive/CM	NOSIP
0.744153153	0	4: Naive/CM	S1PR1
0.698111337	0	4: Naive/CM	RIPOR2
0.654834429	0	4: Naive/CM	LTB
0.626894847	0	4: Naive/CM	CD55
0.613686113	0	4: Naive/CM	C1orf162
0.604942606	0	4: Naive/CM	LDHB
0.542708815	0	4: Naive/CM	RASGRP2
0.524575176	0	4: Naive/CM	RPS12
0.522969738	0	4: Naive/CM	RPS8
0.515731573	0	4: Naive/CM	MAL
0.503482158	0	4: Naive/CM	RPS3A
0.498742365	0	4: Naive/CM	EEF1B2
0.497898381	0	4: Naive/CM	SLC2A3
0.49026616	0	4: Naive/CM	RPS6
0.489647043	0	4: Naive/CM	LDLRAP1
0.48210422	0	4: Naive/CM	RPS13
0.474042497	0	4: Naive/CM	RPL5
0.471807258	0	4: Naive/CM	RPL32
0.470460332	0	4: Naive/CM	RPS5
0.467544158	0	4: Naive/CM	RPL18A
0.460543831	0	4: Naive/CM	TRABD2A
0.457650012	0	4: Naive/CM	EEF1G
0.457584314	0	4: Naive/CM	ARMH1
0.456289243	0	4: Naive/CM	RPL13
0.455114202	0	4: Naive/CM	RPS23
0.448968074	0	4: Naive/CM	RPS14
0.438378783	0	4: Naive/CM	RPL3
0.434429561	0	4: Naive/CM	RPS18
0.434281462	0	4: Naive/CM	RPL11
0.432622471	0	4: Naive/CM	RPS9
0.430218472	0	4: Naive/CM	NOP53
0.427848043	0	4: Naive/CM	RPL10A
0.427496001	0	4: Naive/CM	RPL19
0.424847418	0	4: Naive/CM	PLAC8
0.423716442	0	4: Naive/CM	RPL22
0.420095796	0	4: Naive/CM	AC119396.1
0.419526612	0	4: Naive/CM	RPL9
0.41921621	0	4: Naive/CM	AES
0.418606317	0	4: Naive/CM	RPL34
0.418263824	0	4: Naive/CM	RPL18
0.417055686	0	4: Naive/CM	RPL30
0.416240301	0	4: Naive/CM	RPL7
0.409546344	0	4: Naive/CM	JUNB
0.408588883	0	4: Naive/CM	KLF3
0.40174972	0	4: Naive/CM	RASA3
0.401290019	0	4: Naive/CM	RPL21
0.400626443	0	4: Naive/CM	EIF3E
0.397004935	0	4: Naive/CM	RPL29
0.394916174	0	4: Naive/CM	RPL4
0.386722762	0	4: Naive/CM	RPL14
0.386092271	0	4: Naive/CM	PABPC1
0.385892788	0	4: Naive/CM	ICAM2
0.38376948	0	4: Naive/CM	RPS25
0.383127548	0	4: Naive/CM	FXYD5
0.380471247	0	4: Naive/CM	RPS27A
0.375767707	0	4: Naive/CM	RPL10
0.374235264	0	4: Naive/CM	CDC25B
0.371974086	0	4: Naive/CM	RPS16
0.365763831	0	4: Naive/CM	RPL35A
0.365406408	0	4: Naive/CM	EEF1A1
0.359557872	0	4: Naive/CM	RPS2
0.353249904	0	4: Naive/CM	RPL36
0.353230227	0	4: Naive/CM	RPL12
0.351777285	0	4: Naive/CM	NACA
0.344048137	0	4: Naive/CM	RPS3
0.342621836	0	4: Naive/CM	RPL13A
0.337208868	0	4: Naive/CM	RPSA
0.33381809	0	4: Naive/CM	RPS4X
0.332002467	0	4: Naive/CM	RPL37
0.330541539	0	4: Naive/CM	RPS15A
0.327682592	0	4: Naive/CM	RPS21
0.322671349	0	4: Naive/CM	RPS28
0.322569733	0	4: Naive/CM	RPL6
0.320541777	0	4: Naive/CM	RPL17
0.319128283	0	4: Naive/CM	RPL39
0.317996334	0	4: Naive/CM	RPL26
0.315666231	0	4: Naive/CM	RPL24
0.310906843	0	4: Naive/CM	RACK1
0.310571815	0	4: Naive/CM	EEF2
0.304059297	0	4: Naive/CM	RPL23A
0.295418083	0	4: Naive/CM	TPT1
0.2881245	0	4: Naive/CM	RPL8
0.285448454	0	4: Naive/CM	RPL38
0.282965734	0	4: Naive/CM	RPLP2
0.277081669	0	4: Naive/CM	RPS15
0.276900681	0	4: Naive/CM	RPL7A
0.276888925	0	4: Naive/CM	RPL27
0.276343653	0	4: Naive/CM	RPS27
0.275566308	0	4: Naive/CM	RPL31
0.272931316	0	4: Naive/CM	RPS7
0.263470967	0	4: Naive/CM	RPL37A
0.259260466	0	4: Naive/CM	TMSB10
0.253073674	0	4: Naive/CM	RPL15
0.393225817	6.74E-298	4: Naive/CM	ADD3
0.29777198	2.20E-248	4: Naive/CM	RPS20
0.299944344	9.91E-248	4: Naive/CM	P2RY8
0.336885558	1.30E-236	4: Naive/CM	LINC00861
0.341244155	5.36E-227	4: Naive/CM	SATB1
0.376774022	1.29E-216	4: Naive/CM	NDFIP1
0.288604647	3.10E-215	4: Naive/CM	THEM4
0.322794787	6.97E-204	4: Naive/CM	TMEM123
0.401818342	6.19E-199	4: Naive/CM	ABLIM1
0.274594705	1.23E-190	4: Naive/CM	SH3YL1
0.341960818	2.47E-170	4: Naive/CM	AQP3
0.318800905	1.10E-168	4: Naive/CM	TOB1
0.262340502	7.44E-168	4: Naive/CM	RPS10
0.252459609	2.38E-165	4: Naive/CM	RPL23
0.305096783	3.64E-159	4: Naive/CM	FOXP1
0.271075278	9.84E-159	4: Naive/CM	EIF4B
0.278032214	1.12E-155	4: Naive/CM	PASK
0.304512707	9.48E-155	4: Naive/CM	SOCS3
0.284393425	9.89E-150	4: Naive/CM	FLT3LG
0.287067684	1.03E-141	4: Naive/CM	TMEM243
0.289732704	1.32E-132	4: Naive/CM	RGCC
0.274005716	4.23E-128	4: Naive/CM	ATM
0.308532975	4.92E-123	4: Naive/CM	PRMT2
0.257812049	9.36E-121	4: Naive/CM	EIF2S3
0.256445865	2.62E-116	4: Naive/CM	RSL1D1
0.255604975	5.25E-110	4: Naive/CM	SMDT1
0.292104717	3.26E-92	4: Naive/CM	FTH1
0.29609417	1.19E-82	4: Naive/CM	DDIT4
0.325182565	3.10E-75	4: Naive/CM	RPS4Y1
0.279298825	2.19E-39	4: Naive/CM	CHMP1B
1.628440757	0.00E+00	5: NA	MALAT1
1.08818739	7.98E-133	5: NA	PTPRC
1.48085469	9.61E-125	5: NA	RNF213
0.511158871	7.34E-114	5: NA	MT-CO1
0.466457157	1.60E-107	5: NA	MT-CO2
1.698520369	1.98E-95	5: NA	NEAT1
1.174435484	5.63E-90	5: NA	DDX17
1.36862706	8.25E-78	5: NA	CTLA4
0.36815558	6.81E-55	5: NA	MT-ND4L
0.441863361	6.57E-54	5: NA	MT-ATP8
0.414766186	6.66E-54	5: NA	MT-ATP6
0.378284562	1.19E-53	5: NA	MT-CO3
0.920667048	1.24E-53	5: NA	RSRP1
1.130273856	1.12E-47	5: NA	ITGA4
0.580415947	1.76E-47	5: NA	HLA-E
1.162418721	1.77E-46	5: NA	MACF1
1.060672016	2.82E-43	5: NA	GPRIN3
0.55114615	4.91E-43	5: NA	SARAF
0.947878401	5.29E-42	5: NA	PNISR
1.260424565	2.76E-40	5: NA	SAT1
0.820990405	1.49E-39	5: NA	RBM39
0.792919126	6.43E-38	5: NA	FUS
0.609070112	3.08E-37	5: NA	HLA-A
0.920735462	3.75E-36	5: NA	N4BP2L2
0.974381998	1.84E-34	5: NA	ARGLU1
1.024774903	2.92E-33	5: NA	PBXIP1
1.194316295	1.34E-32	5: NA	SYNE2
0.276284295	4.23E-32	5: NA	MT-CYB
1.039541142	2.62E-31	5: NA	CEMIP2
1.013810708	7.60E-31	5: NA	JAK3
0.401696134	8.23E-31	5: NA	MT-ND1
0.96241159	2.49E-29	5: NA	RNF19A
0.989900194	7.78E-29	5: NA	IL6ST
0.795626671	9.60E-29	5: NA	ACAP1
1.027015927	4.06E-28	5: NA	OGT
0.84974816	1.43E-27	5: NA	ANKRD12
1.05172174	9.23E-27	5: NA	CD38
0.874278128	8.87E-26	5: NA	SPOCK2
0.714400231	1.43E-25	5: NA	MBNL1
0.982604675	1.45E-24	5: NA	GOLGA8B
0.888050345	1.81E-24	5: NA	EML4
0.726036691	1.91E-24	5: NA	SON
0.313838453	9.73E-24	5: NA	MT-ND3
0.861617578	2.64E-23	5: NA	KIAA1551
0.834041878	2.08E-22	5: NA	SLC2A3
0.894104304	1.59E-21	5: NA	ARID5B
1.045092378	4.27E-21	5: NA	ICOS
0.445380312	1.10E-20	5: NA	HLA-C
0.713688441	7.19E-20	5: NA	SF1
0.893479578	9.09E-20	5: NA	VPS13C
0.328810036	1.89E-19	5: NA	MT-ND5
0.913171274	2.62E-19	5: NA	ATP2B4
0.873866012	2.92E-19	5: NA	STAT3
0.947215231	1.13E-17	5: NA	SMCHD1
0.856240208	2.26E-17	5: NA	TNIK
0.735543345	2.52E-17	5: NA	STK4
0.87854891	4.47E-17	5: NA	TMC8
0.44756553	5.16E-17	5: NA	EVL
0.370333029	8.71E-16	5: NA	DDX5
0.87864812	9.73E-16	5: NA	ZNF292
0.796207642	1.10E-15	5: NA	RNF149
0.909020699	6.91E-15	5: NA	NKTR
0.828095786	8.18E-15	5: NA	ZAP70
0.92408319	4.35E-14	5: NA	LINC00861
0.612237673	4.79E-14	5: NA	SRSF7
0.636663209	1.20E-13	5: NA	HLA-F
0.87239226	3.91E-13	5: NA	ITK
0.724679725	1.01E-12	5: NA	TNFRSF25
0.853863302	1.81E-12	5: NA	SPTAN1
0.726372241	2.05E-12	5: NA	PRRC2C
0.43107924	4.67E-12	5: NA	HLA-B
0.816324603	6.22E-12	5: NA	CCNL1
0.844403773	1.00E-11	5: NA	LNPEP
0.655137767	1.55E-11	5: NA	TAPBP
0.88267733	1.54E-10	5: NA	OGA
0.790685497	2.97E-10	5: NA	ANKRD44
0.922658694	6.18E-10	5: NA	TNFRSF1B
0.816513218	8.73E-10	5: NA	CD28
0.83354323	1.88E-09	5: NA	TRA2A
0.817303826	2.37E-09	5: NA	PHTF2
0.766455789	2.46E-09	5: NA	TMEM259
0.843297554	2.77E-09	5: NA	GLG1
0.774235449	5.65E-09	5: NA	RANBP2
0.815690772	7.18E-09	5: NA	PCSK7
0.685904421	1.21E-08	5: NA	ARHGEF1
0.644480863	1.72E-08	5: NA	CD44
0.273369669	2.03E-08	5: NA	TRA2B
0.551397314	2.66E-08	5: NA	SRSF5
0.252782345	3.06E-08	5: NA	PPP1R2
0.295214949	5.13E-08	5: NA	BRD2
0.72491922	6.05E-08	5: NA	DOCK8
0.769414925	6.79E-08	5: NA	TGOLN2
0.769325273	7.03E-08	5: NA	ITGAL
0.34420434	3.51E-07	5: NA	MAP3K8
0.429553546	4.28E-07	5: NA	CD2
0.718580663	5.14E-07	5: NA	CLEC2D
0.617942019	5.54E-07	5: NA	TRAF3IP3
0.827049604	5.80E-07	5: NA	VMP1
0.761400466	9.24E-07	5: NA	USP15
0.801875935	9.76E-07	5: NA	UTRN
0.475231784	1.30E-06	5: NA	GSTK1
0.279633214	1.42E-06	5: NA	PSTPIP1
0.265951716	2.40E-06	5: NA	MAP4K1
0.751044992	2.47E-06	5: NA	DGKA
0.26678251	4.46E-06	5: NA	ARHGAP45
0.754934322	4.63E-06	5: NA	TCIRG1
0.71568269	5.38E-06	5: NA	SLC38A1
0.721785875	6.33E-06	5: NA	RORA
0.257654668	7.14E-06	5: NA	OSBPL8
0.814403429	1.15E-05	5: NA	CBLB
0.751627749	1.33E-05	5: NA	AKAP13
0.631040331	2.64E-05	5: NA	CD6
0.696160434	3.50E-05	5: NA	CELF2
0.750562603	3.52E-05	5: NA	SSH2
0.823521906	3.67E-05	5: NA	ARHGAP4
0.282247105	4.21E-05	5: NA	ST3GAL1
0.761155473	4.71E-05	5: NA	PDE4B
0.293142595	9.28E-05	5: NA	GNG2
0.738057897	2.17E-04	5: NA	SETX
0.776867807	2.32E-04	5: NA	RALGAPA1
0.723354724	2.66E-04	5: NA	MIR4435-2HG
0.265449781	0.000463876	5: NA	TRAT1
0.279694565	0.000509716	5: NA	NDUFV1
0.269744227	0.00068962	5: NA	DENND1C
0.260835537	0.000839264	5: NA	GSPT1
0.252570152	0.000849698	5: NA	SYNGR2
0.260566103	0.000919912	5: NA	PARP1
0.291824485	0.000994455	5: NA	SIRPG
0.792453001	0.001152974	5: NA	KMT2A
0.256811547	0.001306096	5: NA	CEP57
0.285255672	0.00135079	5: NA	CSNK1A1
0.555979873	0.002093815	5: NA	ITGB2
0.735422022	0.002527478	5: NA	PHYKPL
0.743777624	0.002842949	5: NA	CYTH1
0.266933552	0.003087043	5: NA	SDHA
0.719992824	0.003310351	5: NA	SLAMF1
0.741138054	0.004673564	5: NA	TGFBR2
0.318594166	0.004880839	5: NA	BATF
0.291684291	0.004927967	5: NA	CMTM7
0.717056518	0.005148184	5: NA	FCMR
0.550799959	0.005539276	5: NA	MYH9
0.696834296	0.005549943	5: NA	ZNF638
0.743591995	0.006168523	5: NA	SRRM2
0.263970005	0.006534048	5: NA	FIP1L1
0.342473837	0.007377892	5: NA	STAT4
0.261239175	0.007624474	5: NA	RTF1
0.289735359	0.007769912	5: NA	ZNF800
0.32556251	0.010075473	5: NA	DDX46
0.387963265	0.010707107	5: NA	CXCR6
0.668365353	0.011214381	5: NA	RBM25
0.265075724	0.015786963	5: NA	MVP
0.292504606	0.016834136	5: NA	KIF5B
0.272394499	0.017208959	5: NA	NFE2L2
0.27059274	0.017250925	5: NA	RAB8B
0.323010215	0.018107754	5: NA	VSIR
0.279225158	0.021045314	5: NA	SMC3
0.341551729	0.022192387	5: NA	NR3C1
0.358530654	0.024954387	5: NA	MYO1G
0.263644834	0.025429165	5: NA	EPS15
0.298844653	0.026949049	5: NA	CDC42SE1
0.313397953	0.028525087	5: NA	RBL2
0.745247927	0.029189531	5: NA	REL
0.299338879	0.029744266	5: NA	SNRPA1
0.388434658	0.033040119	5: NA	PARP8
0.340429698	0.034611107	5: NA	IRF3
0.296869447	0.034820979	5: NA	TIAL1
0.406688706	0.04291108	5: NA	LAG3
0.669501451	0.044996898	5: NA	LBR
0.28752149	0.047900856	5: NA	GIMAP5
1.129475972	0	6: Tfh	PASK
0.918779435	0	6: Tfh	CXCR5
0.916794797	0	6: Tfh	TOX2
0.913410068	0	6: Tfh	TCF7
0.894661712	0	6: Tfh	CCR7
0.798523642	0	6: Tfh	IL6ST
0.687523167	0	6: Tfh	IL6R
0.677770603	0	6: Tfh	GPR183
