Diagnosis	Sample	seurat_clusters	.n	.frac
Control	CT1	c18	12	0.00340136054421769
Control	CT1	c19	8	0.00226757369614512
Control	CT1	c20	4	0.00113378684807256
Control	CT2	c1	671	0.26375786163522
Control	CT2	c2	301	0.118317610062893
Control	CT2	c3	2	0.000786163522012579
Control	CT2	c4	216	0.0849056603773585
Control	CT2	c5	109	0.0428459119496855
Control	CT2	c6	203	0.0797955974842767
Control	CT2	c7	250	0.0982704402515723
Control	CT2	c8	226	0.0888364779874214
Control	CT2	c9	40	0.0157232704402516
Control	CT2	c10	3	0.00117924528301887
Control	CT2	c11	151	0.0593553459119497
Control	CT2	c12	228	0.089622641509434
Control	CT2	c14	10	0.00393081761006289
Control	CT2	c15	66	0.0259433962264151
Control	CT2	c16	36	0.0141509433962264
Control	CT2	c17	17	0.00668238993710692
Control	CT2	c18	8	0.00314465408805031
Control	CT2	c19	4	0.00157232704402516
Control	CT2	c20	3	0.00117924528301887
Control	CT3	c1	1138	0.332456909144026
Control	CT3	c2	642	0.187554776511832
Control	CT3	c3	3	0.000876424189307625
Control	CT3	c4	142	0.0414840782938942
Control	CT3	c5	429	0.12532865907099
Control	CT3	c6	350	0.102249488752556
Control	CT3	c7	159	0.0464504820333041
Control	CT3	c8	144	0.042068361086766
Control	CT3	c9	18	0.00525854513584575
Control	CT3	c10	8	0.002337131171487
Control	CT3	c11	191	0.0557990067192521
Control	CT3	c12	138	0.0403155127081507
Control	CT3	c13	1	0.000292141396435875
Control	CT3	c14	16	0.004674262342974
Control	CT3	c15	27	0.00788781770376862
Control	CT3	c16	1	0.000292141396435875
Control	CT3	c17	9	0.00262927256792287
Control	CT3	c18	1	0.000292141396435875
Control	CT3	c19	5	0.00146070698217937
Control	CT3	c20	1	0.000292141396435875
Control	CT4	c1	537	0.22629582806574
Control	CT4	c2	443	0.186683522966709
Control	CT4	c3	38	0.0160134850400337
Control	CT4	c4	203	0.0855457227138643
Control	CT4	c5	347	0.146228402865571
Control	CT4	c6	109	0.0459334176148335
Control	CT4	c7	268	0.112937210282343
Control	CT4	c8	169	0.0712178676780447
Control	CT4	c9	12	0.00505689001264223
Control	CT4	c10	17	0.00716392751790982
Control	CT4	c11	127	0.0535187526337969
Control	CT4	c12	13	0.00547829751369574
Control	CT4	c14	37	0.0155920775389802
Control	CT4	c15	23	0.00969237252423093
Control	CT4	c16	5	0.00210703750526759
Control	CT4	c17	16	0.0067425200168563
Control	CT4	c18	3	0.00126422250316056
Control	CT4	c19	1	0.000421407501053519
Control	CT4	c20	5	0.00210703750526759
Control	CT6	c1	1510	0.407008086253369
Control	CT6	c2	755	0.203504043126685
Control	CT6	c4	338	0.0911051212938005
Control	CT6	c5	150	0.0404312668463612
Control	CT6	c6	296	0.0797843665768194
Control	CT6	c7	120	0.032345013477089
Control	CT6	c8	261	0.0703504043126685
Control	CT6	c9	6	0.00161725067385445
Control	CT6	c10	1	0.000269541778975741
Control	CT6	c11	141	0.0380053908355795
Control	CT6	c12	54	0.01455525606469
Control	CT6	c14	16	0.00431266846361186
Control	CT6	c15	30	0.00808625336927224
Control	CT6	c16	7	0.00188679245283019
Control	CT6	c17	15	0.00404312668463612
Control	CT6	c18	4	0.00107816711590297
Control	CT6	c19	2	0.000539083557951483
Control	CT6	c20	4	0.00107816711590297
NoColitis	NC1	c1	799	0.287824207492795
NoColitis	NC1	c2	158	0.0569164265129683
NoColitis	NC1	c3	5	0.00180115273775216
NoColitis	NC1	c4	178	0.0641210374639769
NoColitis	NC1	c5	110	0.0396253602305476
NoColitis	NC1	c6	255	0.0918587896253602
NoColitis	NC1	c7	258	0.0929394812680115
NoColitis	NC1	c8	335	0.120677233429395
NoColitis	NC1	c9	46	0.0165706051873199
NoColitis	NC1	c10	18	0.00648414985590778
NoColitis	NC1	c11	69	0.0248559077809798
NoColitis	NC1	c12	466	0.167867435158501
NoColitis	NC1	c14	56	0.0201729106628242
NoColitis	NC1	c15	4	0.00144092219020173
NoColitis	NC1	c17	4	0.00144092219020173
NoColitis	NC1	c18	2	0.000720461095100865
NoColitis	NC1	c19	3	0.0010806916426513
NoColitis	NC1	c20	10	0.00360230547550432
NoColitis	NC2	c1	869	0.267879161528977
NoColitis	NC2	c2	390	0.120221948212084
NoColitis	NC2	c3	4	0.00123304562268804
NoColitis	NC2	c4	377	0.116214549938348
NoColitis	NC2	c5	419	0.129161528976572
NoColitis	NC2	c6	531	0.163686806411837
NoColitis	NC2	c7	140	0.0431565967940814
NoColitis	NC2	c8	196	0.0604192355117139
NoColitis	NC2	c9	44	0.0135635018495684
NoColitis	NC2	c10	27	0.00832305795314427
NoColitis	NC2	c11	110	0.0339087546239211
NoColitis	NC2	c12	31	0.00955610357583231
NoColitis	NC2	c14	49	0.0151048088779285
NoColitis	NC2	c15	16	0.00493218249075216
NoColitis	NC2	c16	13	0.00400739827373613
NoColitis	NC2	c17	19	0.00585696670776819
NoColitis	NC2	c18	4	0.00123304562268804
NoColitis	NC2	c19	3	0.00092478421701603
NoColitis	NC2	c20	2	0.00061652281134402
NoColitis	NC3	c1	749	0.313389121338912
NoColitis	NC3	c2	320	0.133891213389121
NoColitis	NC3	c4	356	0.148953974895397
NoColitis	NC3	c5	118	0.0493723849372385
NoColitis	NC3	c6	254	0.106276150627615
NoColitis	NC3	c7	167	0.0698744769874477
NoColitis	NC3	c8	163	0.0682008368200837
NoColitis	NC3	c9	69	0.0288702928870293
NoColitis	NC3	c10	21	0.00878661087866109
NoColitis	NC3	c11	55	0.0230125523012552
NoColitis	NC3	c12	9	0.00376569037656904
NoColitis	NC3	c14	10	0.00418410041841004
NoColitis	NC3	c15	33	0.0138075313807531
NoColitis	NC3	c16	38	0.0158995815899582
NoColitis	NC3	c17	16	0.00669456066945607
NoColitis	NC3	c18	8	0.00334728033472803
NoColitis	NC3	c19	2	0.000836820083682008
NoColitis	NC3	c20	2	0.000836820083682008
NoColitis	NC4	c1	1300	0.398040416411513
NoColitis	NC4	c2	907	0.277709736680955
NoColitis	NC4	c3	5	0.00153092467850582
NoColitis	NC4	c4	196	0.060012247397428
NoColitis	NC4	c5	289	0.0884874464176363
NoColitis	NC4	c6	181	0.0554194733619106
NoColitis	NC4	c7	98	0.030006123698714
NoColitis	NC4	c8	80	0.0244947948560931
NoColitis	NC4	c9	15	0.00459277403551745
NoColitis	NC4	c10	17	0.00520514390691978
NoColitis	NC4	c11	46	0.0140845070422535
NoColitis	NC4	c12	6	0.00183710961420698
NoColitis	NC4	c14	40	0.0122473974280465
NoColitis	NC4	c15	17	0.00520514390691978
NoColitis	NC4	c16	35	0.0107164727495407
NoColitis	NC4	c17	22	0.0067360685854256
NoColitis	NC4	c18	2	0.000612369871402327
NoColitis	NC4	c19	10	0.00306184935701163
NoColitis	NC6	c1	939	0.250133191262653
NoColitis	NC6	c2	723	0.192594565796484
NoColitis	NC6	c3	27	0.00719232818327118
NoColitis	NC6	c4	721	0.192061800745871
NoColitis	NC6	c5	208	0.0554075652637187
NoColitis	NC6	c6	363	0.0966968566862014
NoColitis	NC6	c7	151	0.0402237613212573
NoColitis	NC6	c8	163	0.0434203516249334
NoColitis	NC6	c9	68	0.0181140117208311
NoColitis	NC6	c10	36	0.00958977091102824
NoColitis	NC6	c11	93	0.0247735748534896
NoColitis	NC6	c12	67	0.0178476291955248
NoColitis	NC6	c13	2	0.00053276505061268
NoColitis	NC6	c14	43	0.0114544485881726
NoColitis	NC6	c15	84	0.0223761321257326
NoColitis	NC6	c16	47	0.012519978689398
NoColitis	NC6	c17	11	0.00293020777836974
NoColitis	NC6	c18	6	0.00159829515183804
NoColitis	NC6	c20	2	0.00053276505061268
