Diagnosis	Sample	seurat_clusters	.n	.frac
Control	CT2	c6	198	0.0797101449275362
Control	CT2	c7	253	0.101851851851852
Control	CT2	c8	388	0.156199677938808
Control	CT2	c9	219	0.0881642512077295
Control	CT2	c10	4	0.00161030595813205
Control	CT2	c11	15	0.00603864734299517
Control	CT2	c12	9	0.0036231884057971
Control	CT2	c13	66	0.0265700483091787
Control	CT2	c14	26	0.0104669887278583
Control	CT2	c15	9	0.0036231884057971
Control	CT3	c1	1131	0.331963604343998
Control	CT3	c2	640	0.187848547108893
Control	CT3	c3	1	0.000293513354857646
Control	CT3	c4	149	0.0437334898737893
Control	CT3	c5	420	0.123275609040211
Control	CT3	c6	362	0.106251834458468
Control	CT3	c7	160	0.0469621367772234
Control	CT3	c8	337	0.0989140005870267
Control	CT3	c9	136	0.0399178162606399
Control	CT3	c10	10	0.00293513354857646
Control	CT3	c11	9	0.00264162019371881
Control	CT3	c12	16	0.00469621367772234
Control	CT3	c13	24	0.0070443205165835
Control	CT3	c14	10	0.00293513354857646
Control	CT3	c15	2	0.000587026709715292
Control	CT4	c1	535	0.228047740835465
Control	CT4	c2	440	0.187553282182438
Control	CT4	c3	27	0.0115089514066496
Control	CT4	c4	221	0.0942028985507246
Control	CT4	c5	340	0.144927536231884
Control	CT4	c6	117	0.0498721227621483
Control	CT4	c7	284	0.121057118499574
Control	CT4	c8	135	0.0575447570332481
Control	CT4	c9	158	0.0673486786018755
Control	CT4	c10	15	0.00639386189258312
Control	CT4	c11	11	0.00468883205456096
Control	CT4	c12	37	0.015771526001705
Control	CT4	c13	21	0.00895140664961637
Control	CT4	c14	1	0.000426257459505541
Control	CT4	c15	4	0.00170502983802217
Control	CT5	c1	408	0.181494661921708
Control	CT5	c2	404	0.179715302491103
Control	CT5	c4	514	0.22864768683274
Control	CT5	c5	222	0.0987544483985765
Control	CT5	c6	141	0.0627224199288256
Control	CT5	c7	223	0.0991992882562278
Control	CT5	c8	43	0.0191281138790036
Control	CT5	c9	220	0.097864768683274
Control	CT5	c10	17	0.00756227758007117
Control	CT5	c11	11	0.0048932384341637
Control	CT5	c12	16	0.00711743772241993
Control	CT5	c13	3	0.00133451957295374
Control	CT5	c14	16	0.00711743772241993
Control	CT5	c15	10	0.00444839857651246
Control	CT6	c1	1491	0.404942965779468
Control	CT6	c2	751	0.203965236284628
Control	CT6	c4	346	0.0939706681151548
Control	CT6	c5	149	0.0404671374253123
Control	CT6	c6	320	0.086909288430201
Control	CT6	c7	126	0.0342205323193916
Control	CT6	c8	194	0.0526887561108093
Control	CT6	c9	250	0.0678978815860945
Control	CT6	c10	1	0.000271591526344378
Control	CT6	c11	5	0.00135795763172189
Control	CT6	c12	16	0.00434546442151005
Control	CT6	c13	29	0.00787615426398696
Control	CT6	c14	1	0.000271591526344378
Control	CT6	c15	3	0.000814774579033134
Control	CT7	c1	685	0.228105228105228
Control	CT7	c2	777	0.258741258741259
Control	CT7	c4	729	0.242757242757243
Control	CT7	c5	307	0.102231102231102
Control	CT7	c6	151	0.0502830502830503
Control	CT7	c7	119	0.0396270396270396
Control	CT7	c8	92	0.0306360306360306
Control	CT7	c9	71	0.0236430236430236
Control	CT7	c10	5	0.00166500166500167
Control	CT7	c11	14	0.00466200466200466
Control	CT7	c12	29	0.00965700965700966
Control	CT7	c13	5	0.00166500166500167
Control	CT7	c14	18	0.00599400599400599
Control	CT7	c15	1	0.000333000333000333
Control	CT8	c1	586	0.210639827462257
Control	CT8	c2	473	0.170021567217829
Control	CT8	c4	209	0.0751258087706686
Control	CT8	c5	128	0.0460100647016535
Control	CT8	c6	279	0.100287562904385
Control	CT8	c7	187	0.0672178289000719
Control	CT8	c8	336	0.12077641984184
Control	CT8	c9	362	0.130122214234364
Control	CT8	c10	6	0.00215672178289001
Control	CT8	c11	11	0.00395398993529835
Control	CT8	c12	31	0.0111430625449317
Control	CT8	c13	154	0.0553558590941769
Control	CT8	c14	17	0.00611071171818835
Control	CT8	c15	3	0.001078360891445
NoColitis	NC1	c1	799	0.289597680318956
NoColitis	NC1	c2	162	0.0587169264226169
NoColitis	NC1	c3	7	0.00253715114171801
NoColitis	NC1	c4	183	0.0663283798477709
NoColitis	NC1	c5	99	0.0358825661471548
NoColitis	NC1	c6	261	0.0945994925697717
NoColitis	NC1	c7	247	0.0895251902863356
NoColitis	NC1	c8	529	0.191736136281261
NoColitis	NC1	c9	340	0.123233055454875
NoColitis	NC1	c10	21	0.00761145342515404
NoColitis	NC1	c11	36	0.0130482058716926
NoColitis	NC1	c12	57	0.0206596592968467
NoColitis	NC1	c13	5	0.00181225081551287
NoColitis	NC1	c14	11	0.00398695179412831
NoColitis	NC1	c15	2	0.000724900326205147
NoColitis	NC2	c1	879	0.274173424828447
NoColitis	NC2	c2	368	0.114784778540237
NoColitis	NC2	c3	2	0.000623830318153462
NoColitis	NC2	c4	422	0.131628197130381
NoColitis	NC2	c5	400	0.124766063630692
NoColitis	NC2	c6	523	0.16313162819713
NoColitis	NC2	c7	144	0.0449157829070493
NoColitis	NC2	c8	132	0.0411728009981285
NoColitis	NC2	c9	192	0.0598877105427324
NoColitis	NC2	c10	24	0.00748596381784155
NoColitis	NC2	c11	23	0.00717404865876482
NoColitis	NC2	c12	51	0.0159076731129133
NoColitis	NC2	c13	20	0.00623830318153462
NoColitis	NC2	c14	22	0.00686213349968808
NoColitis	NC2	c15	4	0.00124766063630692
NoColitis	NC3	c1	735	0.315180102915952
NoColitis	NC3	c2	308	0.132075471698113
NoColitis	NC3	c3	1	0.000428816466552316
NoColitis	NC3	c4	368	0.157804459691252
NoColitis	NC3	c5	112	0.0480274442538593
NoColitis	NC3	c6	263	0.112778730703259
NoColitis	NC3	c7	172	0.0737564322469983
NoColitis	NC3	c8	68	0.0291595197255575
NoColitis	NC3	c9	159	0.0681818181818182
NoColitis	NC3	c10	26	0.0111492281303602
NoColitis	NC3	c11	26	0.0111492281303602
NoColitis	NC3	c12	12	0.00514579759862779
NoColitis	NC3	c13	33	0.0141509433962264
NoColitis	NC3	c14	43	0.0184391080617496
NoColitis	NC3	c15	6	0.00257289879931389
NoColitis	NC4	c1	1284	0.401500938086304
NoColitis	NC4	c2	924	0.288930581613508
NoColitis	NC4	c3	5	0.00156347717323327
NoColitis	NC4	c4	196	0.0612883051907442
NoColitis	NC4	c5	274	0.0856785490931832
NoColitis	NC4	c6	191	0.0597248280175109
NoColitis	NC4	c7	109	0.0340838023764853
NoColitis	NC4	c8	54	0.0168855534709193
NoColitis	NC4	c9	71	0.0222013758599124
NoColitis	NC4	c10	17	0.00531582238899312
NoColitis	NC4	c11	8	0.00250156347717323
NoColitis	NC4	c12	35	0.0109443402126329
NoColitis	NC4	c13	19	0.00594121325828643
NoColitis	NC4	c14	8	0.00250156347717323
NoColitis	NC4	c15	3	0.000938086303939962
NoColitis	NC5	c1	873	0.2841796875
NoColitis	NC5	c2	768	0.25
NoColitis	NC5	c3	12	0.00390625
NoColitis	NC5	c4	211	0.0686848958333333
NoColitis	NC5	c5	204	0.06640625
NoColitis	NC5	c6	264	0.0859375
NoColitis	NC5	c7	167	0.0543619791666667
NoColitis	NC5	c8	62	0.0201822916666667
NoColitis	NC5	c9	358	0.116536458333333
NoColitis	NC5	c10	11	0.00358072916666667
NoColitis	NC5	c11	35	0.0113932291666667
NoColitis	NC5	c12	47	0.0152994791666667
NoColitis	NC5	c13	34	0.0110677083333333
NoColitis	NC5	c14	18	0.005859375
NoColitis	NC5	c15	8	0.00260416666666667
NoColitis	NC6	c1	922	0.249593936112615
NoColitis	NC6	c2	730	0.197617758527342
NoColitis	NC6	c3	22	0.00595560368164591
NoColitis	NC6	c4	731	0.197888467785598
NoColitis	NC6	c5	207	0.0560368164591229
NoColitis	NC6	c6	388	0.105035192203573
NoColitis	NC6	c7	162	0.0438548998375744
NoColitis	NC6	c8	160	0.0433134813210612
NoColitis	NC6	c9	146	0.0395235517054683
NoColitis	NC6	c10	32	0.00866269626421224
NoColitis	NC6	c11	51	0.0138061721710883
NoColitis	NC6	c12	38	0.010286951813752
NoColitis	NC6	c13	83	0.0224688684353005
NoColitis	NC6	c14	17	0.00460205739036275
NoColitis	NC6	c15	5	0.00135354629128316
